Model;a;r;;;
lock;1.0;0.0;;;
;beta;mu;I0;t_lock;beta_lock
Italy;0.6;0.2;0.0000001;30;0.1
Germany;0.6;0.2;0.0000001;30;0.1
Spain;0.6;0.2;0.0000001;30;0.1
United Kingdom;0.6;0.2;0.0000001;30;0.1
Belgium;0.6;0.2;0.0000001;30;0.1
Portugal;0.6;0.2;0.0000001;30;0.1
;;;;;
exp;1.0;0.0;;;
;beta;mu;I0;alpha;
Italy;0.8;0.01;0.000000001;0.05;
Germany;0.8;0.01;0.000000001;0.05;
Spain;0.8;0.01;0.000000001;0.05;
United Kingdom;0.8;0.01;0.000000001;0.05;
Belgium;0.8;0.01;0.000000001;0.05;
Portugal;0.8;0.01;0.000000001;0.05;
;;;;;
fermi;1.0;0.0;;;
;beta;mu;I0;alpha;t_lock
Italy;0.4;0.01;0.000000001;0.05;10
Germany;0.4;0.01;0.000000001;0.05;10
Spain;0.4;0.01;0.000000001;0.05;10
United Kingdom;0.4;0.01;0.000000001;0.05;10
Belgium;0.4;0.01;0.000000001;0.05;10
Portugal;0.4;0.01;0.000000001;0.05;10
;;;;;
rational;1.0;0.0;;;
;beta;mu;I0;alpha;
Italy;0.4;0.1;0.00000001;0.04;
Germany;0.8;0.01;0.00000001;0.05;
Spain;0.9;0.02;0.000000001;0.06;
United Kingdom;0.8;0.01;0.00000001;0.05;
Belgium;0.8;0.01;0.00000001;0.05;
Portugal;0.9;0.02;0.000000001;0.06;
;;;;;
lock;1.0;1.0;;;
;beta;mu;I0;t_lock;beta_lock
Italy;0.6;0.2;0.0000001;30;0.1
Germany;0.6;0.2;0.0000001;30;0.1
Spain;0.6;0.2;0.0000001;30;0.1
United Kingdom;0.6;0.2;0.0000001;30;0.1
Belgium;0.6;0.2;0.0000001;30;0.1
Portugal;0.6;0.2;0.0000001;30;0.1
;;;;;
exp;1.0;1.0;;;
;beta;mu;I0;alpha;
Italy;0.8;0.01;0.000000001;0.05;
Germany;0.8;0.01;0.000000001;0.05;
Spain;0.8;0.01;0.000000001;0.05;
United Kingdom;0.8;0.01;0.000000001;0.05;
Belgium;0.8;0.01;0.000000001;0.05;
Portugal;0.8;0.01;0.000000001;0.05;
;;;;;
fermi;1.0;1.0;;;
;beta;mu;I0;alpha;t_lock
Italy;0.4;0.01;0.000000001;0.05;10
Germany;0.4;0.01;0.000000001;0.05;10
Spain;0.4;0.01;0.000000001;0.05;10
United Kingdom;0.4;0.01;0.000000001;0.05;10
Belgium;0.4;0.01;0.000000001;0.05;10
Portugal;0.4;0.01;0.000000001;0.05;10
;;;;;
rational;1.0;1.0;;;
;beta;mu;I0;alpha;
Italy;0.8;0.05;0.0000000001;0.06;
Germany;0.85;0.04;0.00000000001;0.05;
Spain;0.85;0.04;0.00000000001;0.05;
United Kingdom;0.8;0.05;0.0000000001;0.06;
Belgium;0.8;0.05;0.0000000001;0.06;
Portugal;0.8;0.05;0.0000000001;0.06;
;;;;;
lock;0.0;0.0;;;
;beta;mu;I0;t_lock;beta_lock
Italy;0.6;0.2;0.0000001;30;0.1
Germany;0.6;0.2;0.0000001;30;0.1
Spain;0.6;0.2;0.0000001;30;0.1
United Kingdom;0.6;0.2;0.0000001;30;0.1
Belgium;0.6;0.2;0.0000001;30;0.1
Portugal;0.6;0.2;0.0000001;30;0.1
;;;;;
exp;0.0;0.0;;;
;beta;mu;I0;alpha;
Italy;0.8;0.01;0.000000001;0.05;
Germany;0.8;0.01;0.000000001;0.05;
Spain;0.8;0.01;0.000000001;0.05;
United Kingdom;0.8;0.01;0.000000001;0.05;
Belgium;0.8;0.01;0.000000001;0.05;
Portugal;0.8;0.01;0.000000001;0.05;
;;;;;
fermi;0.0;0.0;;;
;beta;mu;I0;alpha;t_lock
Italy;0.4;0.01;0.000000001;0.05;10
Germany;0.4;0.01;0.000000001;0.05;10
Spain;0.4;0.01;0.000000001;0.05;10
United Kingdom;0.4;0.01;0.000000001;0.05;10
Belgium;0.4;0.01;0.000000001;0.05;10
Portugal;0.4;0.01;0.000000001;0.05;10
;;;;;
rational;0.0;0.0;;;
;beta;mu;I0;alpha;
Italy;0.4;0.1;0.00000001;0.04;
Germany;0.8;0.01;0.00000001;0.05;
Spain;0.9;0.02;0.000000001;0.06;
United Kingdom;0.8;0.01;0.00000001;0.05;
Belgium;0.8;0.01;0.00000001;0.05;
Portugal;0.9;0.02;0.000000001;0.06;
;;;;;
lock;0.0;1.0;;;
;beta;mu;I0;t_lock;beta_lock
Italy;0.6;0.2;0.0000001;30;0.1
Germany;0.6;0.2;0.0000001;30;0.1
Spain;0.6;0.2;0.0000001;30;0.1
United Kingdom;0.6;0.2;0.0000001;30;0.1
Belgium;0.6;0.2;0.0000001;30;0.1
Portugal;0.6;0.2;0.0000001;30;0.1
;;;;;
exp;0.0;1.0;;;
;beta;mu;I0;alpha;
Italy;0.8;0.01;0.000000001;0.05;
Germany;0.8;0.01;0.000000001;0.05;
Spain;0.8;0.01;0.000000001;0.05;
United Kingdom;0.8;0.01;0.000000001;0.05;
Belgium;0.8;0.01;0.000000001;0.05;
Portugal;0.8;0.01;0.000000001;0.05;
;;;;;
fermi;0.0;1.0;;;
;beta;mu;I0;alpha;t_lock
Italy;0.4;0.01;0.000000001;0.05;10
Germany;0.6;0.01;0.00000000001;0.06;10
Spain;0.6;0.01;0.00000000001;0.06;10
United Kingdom;0.4;0.01;0.000000001;0.05;10
Belgium;0.4;0.01;0.000000001;0.05;10
Portugal;0.4;0.01;0.000000001;0.05;10
;;;;;
rational;0.0;1.0;;;
;beta;mu;I0;alpha;
Italy;2.0;0.06;0.0000000000001;0.08;
Germany;2.0;0.09;0.0000000000001;0.09;
Spain;2.0;0.1;0.0000000000001;0.08;
United Kingdom;0.4;0.01;0.000000001;0.05;
Belgium;0.4;0.01;0.000000001;0.05;
Portugal;0.4;0.01;0.000000001;0.05;