,AIC,cost,country,time,a,r,beta,gamma,p,mu_I,mu_A,I0,alpha,t_lock,beta_lock
0,-2507.53479701735,0.00056449669294337,Italy,rational,0,1,7.17939410784803,41.2976744012922,0.00128242771949242,0.0448493913139559,6.79035333673891,1.2236861814315E-11,0.00740758696638909,,
1,-2483.97917074019,0.00065973802836704,Italy,fermi,0,1,1.33002979419369,0.0449735635133398,0.0153848665423798,0.137076233115744,2.60385040940988E-06,3.80221228822293E-08,0.170765017906868,28,
2,-2467.47490327839,0.000837403131819055,Germany,fermi,0,1,1.70968857609165,0.0519180993771699,0.999999994150992,0.134424131695675,1.64525399531218,2.61977140201396E-09,0.264081063882239,35,
3,-2407.09902921214,3.36742367567906E-10,Germany,rational,0,1,1.43634824410208,1.26949342493959,0.0128058105666841,0.0133904253694227,0.615026420609341,3.05551320176529E-10,0.0248633938948132,,
4,-2386.04531939144,1.03377792482596E-09,Italy,exp,0,1,1.23179057001634,1.2808965920649,0.999989451373786,0.0031162835972276,0.376252058699119,7.85834816645998E-10,0.0584344930962159,,
5,-2293.88939223382,0.000843246206573521,United Kingdom,fermi,0,1,2.02181770456755,0.0270979122481273,0.999999287051441,0.0145477007574868,0.526344731306411,4.10921612324134E-09,0.144391956534118,34,
6,-2264.8528091509,0.000936126379972922,Portugal,rational,0,1,5.79340511983875,0.691924280709952,0.0199457864751926,1.39954053469547E-07,1.00328328994304,5.52668121846773E-15,0.0539435448677898,,
7,-2235.71814491811,1.08724810386783E-09,United Kingdom,exp,0,1,1.41312194412923,0.337190531228522,0.78329624599928,0.156986781543567,2.12374178440925E-05,3.55082402511472E-09,0.0384098879627326,,
8,-2234.47647071189,0.00523778755171345,Germany,exp,0,1,2.50861684048979,1.39532985050202,2.30173412940983E-09,23.9999997731981,0.00274911277844888,9.31703439639201E-12,0.0717311884673183,,
9,-2227.78896627615,1.1692874973761E-09,United Kingdom,rational,0,1,0.688371085518257,1.37639517667329,6.26017351917569E-06,0.289642204192654,0.0867734689939378,2.41422593621001E-09,0.0356375638238127,,
10,-2225.32084330576,6.5621262396584E-10,Portugal,fermi,0,1,5.62881959480918,0.032286624064337,0.113524006048129,0.353717369104983,0.685588321331403,1.40081194547602E-09,0.299105795361032,35,
11,-2215.08520998735,0.000672896197219231,Belgium,rational,0,1,2.45127355048571,0.422359598908458,0.0104054696365536,3.90323011312299E-08,0.657519747437399,4.52286161985609E-10,0.033789321151587,,
12,-2112.53754703866,6.71503801705559E-09,Spain,exp,0,1,1.93865944693309,1.30483794238951,0.847219651340458,0.0696257651334901,0.536079548849058,6.19203908192849E-12,0.0510408126237858,,
13,-2104.31139609789,2.4775532511381E-09,Belgium,fermi,0,1,2.47002663464569,0.0990931147395375,0.999999966592006,0.129539853063052,0.365177662264202,1.96817017901318E-08,0.0711172335024733,6,
14,-2091.04248897337,8.12195788751977E-09,Spain,rational,0,1,1.66650800457991,0.954371863265217,4.058089343647E-07,0.425125135213477,0.207695733051126,3.99960322559242E-11,0.049147049002054,,
15,-2072.07381130444,9.43792864958486E-09,Spain,fermi,0,1,0.843439874353355,0.229890518742089,0.999992055841083,0.0957318404913428,0.115429666904455,1.33192386904104E-08,0.0708573919903717,19,
16,-2062.93058538721,3.71619248420793E-09,Belgium,exp,0,1,2.74596363582074,0.143330834373684,0.999999464938276,0.196504844735986,0.517582311643296,3.00841771603501E-08,0.0460385828627566,,
17,-2057.30541288278,3.2630056014909E-09,Portugal,exp,0,1,1.61266714220205,0.412953970206118,0.674089860166274,0.190338451790189,0.00611557940867734,7.44534336602835E-09,0.0506668751041947,,
18,-1738.0003761013,6.51109330493546E-08,Portugal,lock,0,1,29.0401566974849,0.00877300963028503,0.99999996916418,0.00190088335255679,0.0559693126001082,6.23694157087656E-09,,22,2.85209884158134E-06
19,-1717.77265240809,0.0455266348388716,Italy,lock,0,1,166.163141888177,0.0144732202019745,1.0726171003735E-10,23.8884980319363,0.750317473717441,2.47707797423178E-14,,22,0.0599350163777331
20,-1663.56565039737,0.058468831222791,Germany,lock,0,1,90.4760464470172,0.0223542269964591,0.00213903954957882,0.166720073250174,0.0894759830537612,2.19006946697324E-17,,23,0.000275786442381536
21,-1651.32262344022,2.2740396268492E-07,United Kingdom,lock,0,1,55.0066463421061,0.00239836261145947,0.99999991542406,0.00111675944420814,1.75816349683111,1.37894027457601E-07,,22,2.22801899267209E-06
22,-1486.76947091646,0.0534410377315712,Belgium,lock,0,1,285.229979567612,0.0104738674935352,0.0104865184163735,14.3391040119109,0.0100248300978368,1.06371100491824E-18,,22,2.45113588749667E-07
23,-1417.43616282077,0.0694896218994804,Spain,lock,0,1,263.239023385628,0.0228763756654605,0.141112162059957,23.9999979408089,0.894681232472313,4.58845126765566E-20,,22,0.00745641769229121